Using device: cuda
======================================================================
Fractional 20D Double-Well  (Section 4.10 variant)
======================================================================
Training: N_EPOCHS=90000, K_TEST=5000, ALPHA=1.5, DIM=20
Epoch 500/90000 | Loss: 0.495536 | sigma_coeff: 9.9993
Epoch 1000/90000 | Loss: 0.527115 | sigma_coeff: 9.9973
Epoch 1500/90000 | Loss: 0.662287 | sigma_coeff: 9.9938
Epoch 2000/90000 | Loss: 0.745695 | sigma_coeff: 9.9890
Epoch 2500/90000 | Loss: 1.048998 | sigma_coeff: 9.9829
Epoch 3000/90000 | Loss: 1.563224 | sigma_coeff: 9.9754
Epoch 3500/90000 | Loss: 3.012855 | sigma_coeff: 9.9665
Epoch 4000/90000 | Loss: 5.776655 | sigma_coeff: 9.9562
Epoch 4500/90000 | Loss: 9.065526 | sigma_coeff: 9.9446
Epoch 5000/90000 | Loss: 13.044027 | sigma_coeff: 9.9317
Epoch 5500/90000 | Loss: 17.455053 | sigma_coeff: 9.9174
Epoch 6000/90000 | Loss: 20.476610 | sigma_coeff: 9.9017
Epoch 6500/90000 | Loss: 23.256306 | sigma_coeff: 9.8847
Epoch 7000/90000 | Loss: 27.130566 | sigma_coeff: 9.8664
Epoch 7500/90000 | Loss: 30.793596 | sigma_coeff: 9.8467
Epoch 8000/90000 | Loss: 32.561825 | sigma_coeff: 9.8257
Epoch 8500/90000 | Loss: 34.981941 | sigma_coeff: 9.8034
Epoch 9000/90000 | Loss: 36.239388 | sigma_coeff: 9.7798
Epoch 9500/90000 | Loss: 39.233288 | sigma_coeff: 9.7549
Epoch 10000/90000 | Loss: 39.412254 | sigma_coeff: 9.7287
Epoch 10500/90000 | Loss: 38.662273 | sigma_coeff: 9.7012
Epoch 11000/90000 | Loss: 37.602421 | sigma_coeff: 9.6724
Epoch 11500/90000 | Loss: 36.839520 | sigma_coeff: 9.6423
Epoch 12000/90000 | Loss: 35.570774 | sigma_coeff: 9.6110
Epoch 12500/90000 | Loss: 37.966293 | sigma_coeff: 9.5785
Epoch 13000/90000 | Loss: 36.370094 | sigma_coeff: 9.5446
Epoch 13500/90000 | Loss: 36.554726 | sigma_coeff: 9.5096
Epoch 14000/90000 | Loss: 36.480713 | sigma_coeff: 9.4733
Epoch 14500/90000 | Loss: 35.729782 | sigma_coeff: 9.4359
Epoch 15000/90000 | Loss: 36.525703 | sigma_coeff: 9.3972
Epoch 15500/90000 | Loss: 36.330227 | sigma_coeff: 9.3573
Epoch 16000/90000 | Loss: 30.555443 | sigma_coeff: 9.3163
Epoch 16500/90000 | Loss: 24.201769 | sigma_coeff: 9.2741
Epoch 17000/90000 | Loss: 16.283361 | sigma_coeff: 9.2308
Epoch 17500/90000 | Loss: 15.129839 | sigma_coeff: 9.1863
Epoch 18000/90000 | Loss: 11.578748 | sigma_coeff: 9.1407
Epoch 18500/90000 | Loss: 10.290201 | sigma_coeff: 9.0940
Epoch 19000/90000 | Loss: 7.634909 | sigma_coeff: 9.0461
Epoch 19500/90000 | Loss: 6.431997 | sigma_coeff: 8.9973
