Using device: cuda
================================================================================
Time-Dependent 2D Double-Peak Distribution
================================================================================

PHYSICAL PARAMETERS:
  Diffusion coefficient: σ = 0.4
  Time interval: [0, 1.0]

INITIAL CONDITION:
  Type: Single Gaussian
  Mean: μ₀ = [0. 0.]
  Std dev: σ₀ = 0.5
  Strategy: Single blob at origin → evolves to double peaks

NETWORK ARCHITECTURE:
  Base dimension: 16
  Hidden layers: [64, 64, 64]
  Activation: Tanh

TRAINING PARAMETERS:
  Test functions: K = 200
  Batch size: M = 2000
  Epochs: 200000
  Generator LR: 0.01 (with exponential decay γ=0.99999)
  Test function LR: 0.05 (with exponential decay γ=0.99999)
  Test updates: 5 every 1 epochs
================================================================================

Starting training...
--------------------------------------------------------------------------------
/users/andrewho/.conda/envs/torch_gpu/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:224: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
Epoch     0, Loss: 1.249458, LR_gen: 1.00e-02, LR_test: 5.00e-02
t=0.500: mean=(-0.140,  0.020), std=(0.215, 0.181)
Epoch  1000, Loss: 6.893635, LR_gen: 9.90e-03, LR_test: 4.95e-02
Epoch  2000, Loss: 8.530866, LR_gen: 9.80e-03, LR_test: 4.90e-02
Epoch  3000, Loss: nan, LR_gen: 9.70e-03, LR_test: 4.85e-02
Epoch  4000, Loss: nan, LR_gen: 9.61e-03, LR_test: 4.80e-02
Epoch  5000, Loss: nan, LR_gen: 9.51e-03, LR_test: 4.76e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch  6000, Loss: nan, LR_gen: 9.42e-03, LR_test: 4.71e-02
Epoch  7000, Loss: nan, LR_gen: 9.32e-03, LR_test: 4.66e-02
Epoch  8000, Loss: nan, LR_gen: 9.23e-03, LR_test: 4.62e-02
Epoch  9000, Loss: nan, LR_gen: 9.14e-03, LR_test: 4.57e-02
Epoch 10000, Loss: nan, LR_gen: 9.05e-03, LR_test: 4.52e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 11000, Loss: nan, LR_gen: 8.96e-03, LR_test: 4.48e-02
Epoch 12000, Loss: nan, LR_gen: 8.87e-03, LR_test: 4.43e-02
Epoch 13000, Loss: nan, LR_gen: 8.78e-03, LR_test: 4.39e-02
Epoch 14000, Loss: nan, LR_gen: 8.69e-03, LR_test: 4.35e-02
Epoch 15000, Loss: nan, LR_gen: 8.61e-03, LR_test: 4.30e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 16000, Loss: nan, LR_gen: 8.52e-03, LR_test: 4.26e-02
Epoch 17000, Loss: nan, LR_gen: 8.44e-03, LR_test: 4.22e-02
Epoch 18000, Loss: nan, LR_gen: 8.35e-03, LR_test: 4.18e-02
Epoch 19000, Loss: nan, LR_gen: 8.27e-03, LR_test: 4.13e-02
Epoch 20000, Loss: nan, LR_gen: 8.19e-03, LR_test: 4.09e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 21000, Loss: nan, LR_gen: 8.11e-03, LR_test: 4.05e-02
Epoch 22000, Loss: nan, LR_gen: 8.03e-03, LR_test: 4.01e-02
Epoch 23000, Loss: nan, LR_gen: 7.95e-03, LR_test: 3.97e-02
Epoch 24000, Loss: nan, LR_gen: 7.87e-03, LR_test: 3.93e-02
