Using device: cuda
======================================================================
Time-Dependent 1D Double Well Fokker-Planck
======================================================================
Parameters: σ=0.5, T=1.0
Potential: V(x) = (x² - 1)²
Drift: b(x) = -4x³ + 4x
Initial condition: N(0.0, 1.0)
Training: K=5000 test functions, M=5000 batch size, 200000 epochs
======================================================================
Saved: results_doublewell1d/potential_drift.png

Initializing networks...
Pushforward network parameters: 449
Test functions parameters: 15,000

Starting training...
----------------------------------------------------------------------
Epoch     0/200000, Loss: 0.832158, t=0.5: mean=0.0466, std=1.0166, Time/epoch: 0.157s, ETA: 524.6min
Epoch   500/200000, Loss: 0.781716, t=0.5: mean=-0.0253, std=1.0203, Time/epoch: 0.004s, ETA: 13.0min
Epoch  1000/200000, Loss: 0.873007, t=0.5: mean=0.0287, std=1.0375, Time/epoch: 0.004s, ETA: 12.9min
Epoch  1500/200000, Loss: 0.784920, t=0.5: mean=-0.0368, std=0.9779, Time/epoch: 0.004s, ETA: 12.8min
Epoch  2000/200000, Loss: 0.935912, t=0.5: mean=-0.0200, std=0.9988, Time/epoch: 0.004s, ETA: 12.8min
Epoch  2500/200000, Loss: 0.890367, t=0.5: mean=-0.0285, std=0.9910, Time/epoch: 0.004s, ETA: 12.8min
Epoch  3000/200000, Loss: 0.839481, t=0.5: mean=-0.0118, std=1.0028, Time/epoch: 0.004s, ETA: 12.7min
Epoch  3500/200000, Loss: 0.667142, t=0.5: mean=-0.0566, std=0.9632, Time/epoch: 0.004s, ETA: 12.7min
Epoch  4000/200000, Loss: 0.972363, t=0.5: mean=-0.0014, std=0.9718, Time/epoch: 0.004s, ETA: 12.6min
Epoch  4500/200000, Loss: 0.850041, t=0.5: mean=0.0595, std=1.0286, Time/epoch: 0.004s, ETA: 12.6min
Epoch  5000/200000, Loss: 0.825996, t=0.5: mean=0.0521, std=0.9778, Time/epoch: 0.004s, ETA: 12.6min
Epoch  5500/200000, Loss: 0.884675, t=0.5: mean=-0.0440, std=1.0236, Time/epoch: 0.004s, ETA: 12.6min
Epoch  6000/200000, Loss: 0.900296, t=0.5: mean=0.0452, std=0.9852, Time/epoch: 0.004s, ETA: 12.5min
Epoch  6500/200000, Loss: 0.917405, t=0.5: mean=0.0216, std=0.9978, Time/epoch: 0.004s, ETA: 12.5min
Epoch  7000/200000, Loss: 0.837660, t=0.5: mean=-0.0059, std=1.0004, Time/epoch: 0.004s, ETA: 12.5min
Epoch  7500/200000, Loss: 0.961530, t=0.5: mean=-0.0506, std=0.9819, Time/epoch: 0.004s, ETA: 12.4min
Epoch  8000/200000, Loss: 0.844579, t=0.5: mean=-0.0288, std=0.9471, Time/epoch: 0.004s, ETA: 12.4min
Epoch  8500/200000, Loss: 1.035287, t=0.5: mean=-0.0314, std=1.0013, Time/epoch: 0.004s, ETA: 12.4min
Epoch  9000/200000, Loss: 0.764398, t=0.5: mean=0.0005, std=0.9871, Time/epoch: 0.004s, ETA: 12.3min
Epoch  9500/200000, Loss: 0.897273, t=0.5: mean=0.0092, std=1.0311, Time/epoch: 0.004s, ETA: 12.3min
Epoch 10000/200000, Loss: 0.813096, t=0.5: mean=-0.0128, std=0.9914, Time/epoch: 0.004s, ETA: 12.2min
Epoch 10500/200000, Loss: 0.952903, t=0.5: mean=-0.0228, std=0.9488, Time/epoch: 0.004s, ETA: 12.2min
Epoch 11000/200000, Loss: 0.929260, t=0.5: mean=0.0897, std=0.9941, Time/epoch: 0.004s, ETA: 12.2min
Epoch 11500/200000, Loss: 0.870016, t=0.5: mean=0.0126, std=0.9746, Time/epoch: 0.004s, ETA: 12.0min
Epoch 12000/200000, Loss: 0.851104, t=0.5: mean=-0.0274, std=0.9916, Time/epoch: 0.004s, ETA: 11.5min
Epoch 12500/200000, Loss: 0.893782, t=0.5: mean=0.0030, std=0.9644, Time/epoch: 0.004s, ETA: 11.5min
Epoch 13000/200000, Loss: 0.845339, t=0.5: mean=-0.0477, std=1.0114, Time/epoch: 0.004s, ETA: 11.4min
Epoch 13500/200000, Loss: 0.924988, t=0.5: mean=-0.0292, std=1.0016, Time/epoch: 0.004s, ETA: 11.4min
Epoch 14000/200000, Loss: 0.976772, t=0.5: mean=-0.0197, std=0.9910, Time/epoch: 0.004s, ETA: 11.3min
Epoch 14500/200000, Loss: 0.956648, t=0.5: mean=-0.0007, std=0.9683, Time/epoch: 0.004s, ETA: 11.3min
Epoch 15000/200000, Loss: 0.908504, t=0.5: mean=0.0027, std=1.0056, Time/epoch: 0.004s, ETA: 11.3min
Epoch 15500/200000, Loss: 1.028969, t=0.5: mean=0.0046, std=1.0007, Time/epoch: 0.004s, ETA: 11.3min
Epoch 16000/200000, Loss: 0.847033, t=0.5: mean=-0.0104, std=1.0044, Time/epoch: 0.004s, ETA: 11.3min
Epoch 16500/200000, Loss: 1.014410, t=0.5: mean=0.0176, std=1.0045, Time/epoch: 0.004s, ETA: 11.2min
Epoch 17000/200000, Loss: 0.794960, t=0.5: mean=0.0273, std=0.9889, Time/epoch: 0.004s, ETA: 11.2min
Epoch 17500/200000, Loss: 1.080901, t=0.5: mean=0.0219, std=1.0297, Time/epoch: 0.004s, ETA: 11.2min
Epoch 18000/200000, Loss: 0.913022, t=0.5: mean=0.0003, std=1.0296, Time/epoch: 0.004s, ETA: 11.1min
Epoch 18500/200000, Loss: 0.985893, t=0.5: mean=-0.0283, std=1.0158, Time/epoch: 0.004s, ETA: 11.1min
Epoch 19000/200000, Loss: 1.010321, t=0.5: mean=0.0256, std=0.9988, Time/epoch: 0.004s, ETA: 11.1min
Epoch 19500/200000, Loss: 0.966578, t=0.5: mean=0.0056, std=1.0040, Time/epoch: 0.004s, ETA: 11.1min
Epoch 20000/200000, Loss: 0.939703, t=0.5: mean=0.0136, std=0.9752, Time/epoch: 0.004s, ETA: 11.0min
Epoch 20500/200000, Loss: 0.835806, t=0.5: mean=0.0422, std=0.9749, Time/epoch: 0.004s, ETA: 11.0min
Epoch 21000/200000, Loss: 0.858951, t=0.5: mean=-0.0439, std=0.9750, Time/epoch: 0.004s, ETA: 10.9min
Epoch 21500/200000, Loss: 0.930927, t=0.5: mean=-0.0331, std=1.0135, Time/epoch: 0.004s, ETA: 10.9min
Epoch 22000/200000, Loss: 0.935843, t=0.5: mean=0.0089, std=0.9616, Time/epoch: 0.004s, ETA: 10.9min
Epoch 22500/200000, Loss: 0.886554, t=0.5: mean=-0.0152, std=1.0254, Time/epoch: 0.004s, ETA: 10.9min
Epoch 23000/200000, Loss: 1.108920, t=0.5: mean=-0.0385, std=0.9975, Time/epoch: 0.004s, ETA: 10.8min
Epoch 23500/200000, Loss: 0.989509, t=0.5: mean=-0.0496, std=0.9903, Time/epoch: 0.004s, ETA: 10.8min
Epoch 24000/200000, Loss: 1.075146, t=0.5: mean=-0.0364, std=0.9774, Time/epoch: 0.004s, ETA: 10.8min
Epoch 24500/200000, Loss: 1.087330, t=0.5: mean=0.0312, std=0.9918, Time/epoch: 0.004s, ETA: 10.7min
Epoch 25000/200000, Loss: 0.999322, t=0.5: mean=0.0078, std=1.0266, Time/epoch: 0.004s, ETA: 10.7min
Epoch 25500/200000, Loss: 1.042134, t=0.5: mean=0.0096, std=1.0072, Time/epoch: 0.004s, ETA: 10.7min
Epoch 26000/200000, Loss: 1.086676, t=0.5: mean=-0.0063, std=1.0155, Time/epoch: 0.004s, ETA: 10.7min
Epoch 26500/200000, Loss: 0.943814, t=0.5: mean=-0.0237, std=0.9602, Time/epoch: 0.004s, ETA: 10.6min
Epoch 27000/200000, Loss: 1.004741, t=0.5: mean=-0.0277, std=1.0451, Time/epoch: 0.004s, ETA: 10.6min
Epoch 27500/200000, Loss: 1.021558, t=0.5: mean=-0.0187, std=0.9812, Time/epoch: 0.004s, ETA: 10.6min
Epoch 28000/200000, Loss: 1.069721, t=0.5: mean=0.0376, std=0.9969, Time/epoch: 0.004s, ETA: 10.5min
Epoch 28500/200000, Loss: 0.882330, t=0.5: mean=0.0314, std=1.0141, Time/epoch: 0.004s, ETA: 10.5min
Epoch 29000/200000, Loss: 1.151916, t=0.5: mean=-0.0042, std=1.0137, Time/epoch: 0.004s, ETA: 10.5min
Epoch 29500/200000, Loss: 0.954105, t=0.5: mean=0.0073, std=0.9621, Time/epoch: 0.004s, ETA: 10.4min
Epoch 30000/200000, Loss: 0.926934, t=0.5: mean=-0.0143, std=0.9981, Time/epoch: 0.004s, ETA: 10.4min
Epoch 30500/200000, Loss: 0.991148, t=0.5: mean=0.0165, std=0.9835, Time/epoch: 0.004s, ETA: 10.4min
Epoch 31000/200000, Loss: 0.959604, t=0.5: mean=-0.0113, std=1.0285, Time/epoch: 0.004s, ETA: 10.4min
Epoch 31500/200000, Loss: 1.173664, t=0.5: mean=-0.0423, std=0.9897, Time/epoch: 0.004s, ETA: 10.3min
Epoch 32000/200000, Loss: 1.119777, t=0.5: mean=-0.0519, std=1.0051, Time/epoch: 0.004s, ETA: 10.3min
Epoch 32500/200000, Loss: 1.020547, t=0.5: mean=-0.0264, std=0.9587, Time/epoch: 0.004s, ETA: 10.3min
Epoch 33000/200000, Loss: 0.855916, t=0.5: mean=0.0474, std=1.0118, Time/epoch: 0.004s, ETA: 10.2min
Epoch 33500/200000, Loss: 1.094796, t=0.5: mean=0.0293, std=1.0045, Time/epoch: 0.004s, ETA: 10.2min
Epoch 34000/200000, Loss: 0.990351, t=0.5: mean=0.0199, std=0.9968, Time/epoch: 0.004s, ETA: 10.2min
Epoch 34500/200000, Loss: 0.957719, t=0.5: mean=0.0536, std=1.0023, Time/epoch: 0.004s, ETA: 10.1min
Epoch 35000/200000, Loss: 0.906657, t=0.5: mean=0.0050, std=1.0037, Time/epoch: 0.004s, ETA: 10.1min
Epoch 35500/200000, Loss: 1.117207, t=0.5: mean=-0.0357, std=1.0186, Time/epoch: 0.004s, ETA: 10.1min
Epoch 36000/200000, Loss: 0.998426, t=0.5: mean=-0.0019, std=1.0135, Time/epoch: 0.004s, ETA: 10.0min
Epoch 36500/200000, Loss: 1.071026, t=0.5: mean=-0.0175, std=0.9819, Time/epoch: 0.004s, ETA: 10.0min
Epoch 37000/200000, Loss: 1.223453, t=0.5: mean=0.0409, std=1.0262, Time/epoch: 0.004s, ETA: 10.0min
Epoch 37500/200000, Loss: 1.037645, t=0.5: mean=0.0013, std=0.9713, Time/epoch: 0.004s, ETA: 9.9min
Epoch 38000/200000, Loss: 1.020995, t=0.5: mean=-0.0566, std=0.9692, Time/epoch: 0.004s, ETA: 9.9min
Epoch 38500/200000, Loss: 1.002061, t=0.5: mean=-0.0550, std=0.9979, Time/epoch: 0.004s, ETA: 9.9min
Epoch 39000/200000, Loss: 0.955873, t=0.5: mean=-0.0112, std=1.0150, Time/epoch: 0.004s, ETA: 9.9min
Epoch 39500/200000, Loss: 1.135851, t=0.5: mean=-0.0017, std=1.0363, Time/epoch: 0.004s, ETA: 9.8min
Epoch 40000/200000, Loss: 0.849224, t=0.5: mean=0.0132, std=1.0095, Time/epoch: 0.004s, ETA: 9.8min
Epoch 40500/200000, Loss: 0.956972, t=0.5: mean=-0.0600, std=1.0326, Time/epoch: 0.004s, ETA: 9.8min
Epoch 41000/200000, Loss: 1.068135, t=0.5: mean=0.0336, std=1.0161, Time/epoch: 0.004s, ETA: 9.7min
Epoch 41500/200000, Loss: 1.043764, t=0.5: mean=-0.0326, std=1.0074, Time/epoch: 0.004s, ETA: 9.7min
Epoch 42000/200000, Loss: 1.008992, t=0.5: mean=0.0413, std=1.0000, Time/epoch: 0.004s, ETA: 9.7min
Epoch 42500/200000, Loss: 1.107880, t=0.5: mean=-0.0027, std=1.0155, Time/epoch: 0.004s, ETA: 9.7min
Epoch 43000/200000, Loss: 1.221788, t=0.5: mean=-0.0690, std=0.9777, Time/epoch: 0.004s, ETA: 9.6min
Epoch 43500/200000, Loss: 0.980128, t=0.5: mean=0.0060, std=0.9956, Time/epoch: 0.004s, ETA: 9.6min
Epoch 44000/200000, Loss: 1.078282, t=0.5: mean=-0.0429, std=1.0352, Time/epoch: 0.004s, ETA: 9.6min
Epoch 44500/200000, Loss: 1.042784, t=0.5: mean=-0.0097, std=1.0111, Time/epoch: 0.004s, ETA: 9.5min
Epoch 45000/200000, Loss: 1.012486, t=0.5: mean=0.0013, std=0.9753, Time/epoch: 0.004s, ETA: 9.5min
Epoch 45500/200000, Loss: 1.171062, t=0.5: mean=0.0482, std=0.9430, Time/epoch: 0.004s, ETA: 9.5min
Epoch 46000/200000, Loss: 1.211033, t=0.5: mean=0.0180, std=0.9959, Time/epoch: 0.004s, ETA: 9.4min
Epoch 46500/200000, Loss: 1.155971, t=0.5: mean=-0.0421, std=1.0001, Time/epoch: 0.004s, ETA: 9.4min
Epoch 47000/200000, Loss: 1.283502, t=0.5: mean=0.0120, std=0.9758, Time/epoch: 0.004s, ETA: 9.4min
Epoch 47500/200000, Loss: 1.131551, t=0.5: mean=-0.0063, std=0.9841, Time/epoch: 0.004s, ETA: 9.3min
Epoch 48000/200000, Loss: 0.998683, t=0.5: mean=0.0233, std=1.0226, Time/epoch: 0.004s, ETA: 9.3min
Epoch 48500/200000, Loss: 1.091281, t=0.5: mean=-0.0201, std=0.9726, Time/epoch: 0.004s, ETA: 9.3min
Epoch 49000/200000, Loss: 1.144874, t=0.5: mean=-0.0388, std=1.0395, Time/epoch: 0.004s, ETA: 9.2min
Epoch 49500/200000, Loss: 1.087002, t=0.5: mean=0.0134, std=0.9949, Time/epoch: 0.004s, ETA: 9.2min
Epoch 50000/200000, Loss: 1.241349, t=0.5: mean=0.0327, std=1.0208, Time/epoch: 0.004s, ETA: 9.2min
Epoch 50500/200000, Loss: 1.016810, t=0.5: mean=-0.0004, std=0.9885, Time/epoch: 0.004s, ETA: 9.2min
Epoch 51000/200000, Loss: 1.162870, t=0.5: mean=-0.0435, std=1.0192, Time/epoch: 0.004s, ETA: 9.1min
Epoch 51500/200000, Loss: 0.962337, t=0.5: mean=0.0417, std=0.9787, Time/epoch: 0.004s, ETA: 9.1min
Epoch 52000/200000, Loss: 1.193760, t=0.5: mean=-0.0434, std=0.9843, Time/epoch: 0.004s, ETA: 9.1min
Epoch 52500/200000, Loss: 1.253629, t=0.5: mean=0.0405, std=1.0166, Time/epoch: 0.004s, ETA: 9.0min
Epoch 53000/200000, Loss: 1.170803, t=0.5: mean=-0.0354, std=1.0092, Time/epoch: 0.004s, ETA: 9.0min
Epoch 53500/200000, Loss: 1.122660, t=0.5: mean=-0.0363, std=1.0409, Time/epoch: 0.004s, ETA: 9.0min
Epoch 54000/200000, Loss: 1.266222, t=0.5: mean=0.0206, std=1.0070, Time/epoch: 0.004s, ETA: 8.9min
Epoch 54500/200000, Loss: 1.289609, t=0.5: mean=-0.0390, std=0.9846, Time/epoch: 0.004s, ETA: 8.9min
Epoch 55000/200000, Loss: 1.397646, t=0.5: mean=-0.0319, std=0.9934, Time/epoch: 0.004s, ETA: 8.9min
Epoch 55500/200000, Loss: 1.313846, t=0.5: mean=0.0392, std=1.0178, Time/epoch: 0.004s, ETA: 8.9min
Epoch 56000/200000, Loss: 1.129927, t=0.5: mean=-0.0639, std=1.0179, Time/epoch: 0.004s, ETA: 8.8min
Epoch 56500/200000, Loss: 1.057635, t=0.5: mean=-0.0180, std=1.0336, Time/epoch: 0.004s, ETA: 8.8min
Epoch 57000/200000, Loss: 1.073220, t=0.5: mean=0.0039, std=1.0317, Time/epoch: 0.004s, ETA: 8.8min
Epoch 57500/200000, Loss: 1.039636, t=0.5: mean=0.0790, std=1.0022, Time/epoch: 0.004s, ETA: 8.7min
Epoch 58000/200000, Loss: 1.212508, t=0.5: mean=0.0173, std=0.9967, Time/epoch: 0.004s, ETA: 8.7min
Epoch 58500/200000, Loss: 1.063307, t=0.5: mean=0.0661, std=0.9990, Time/epoch: 0.004s, ETA: 8.7min
Epoch 59000/200000, Loss: 1.162300, t=0.5: mean=-0.0566, std=0.9923, Time/epoch: 0.004s, ETA: 8.6min
Epoch 59500/200000, Loss: 1.238535, t=0.5: mean=0.0025, std=0.9696, Time/epoch: 0.004s, ETA: 8.6min
Epoch 60000/200000, Loss: 1.092959, t=0.5: mean=0.0293, std=1.0326, Time/epoch: 0.004s, ETA: 8.6min
Epoch 60500/200000, Loss: 1.131763, t=0.5: mean=-0.0308, std=0.9790, Time/epoch: 0.004s, ETA: 8.5min
Epoch 61000/200000, Loss: 0.986133, t=0.5: mean=-0.0407, std=1.0065, Time/epoch: 0.004s, ETA: 8.5min
