Using device: cuda
======================================================================
Time-Dependent 1D Double Well Fokker-Planck
======================================================================
Parameters: σ=0.5, T=1.0
Potential: V(x) = (x² - 1)²
Drift: b(x) = -4x³ + 4x
Initial condition: N(0.0, 1.0)
Training: K=5000 test functions, M=5000 batch size, 200000 epochs
======================================================================
Saved: results_doublewell1d/potential_drift.png

Initializing networks...
Pushforward network parameters: 449
Test functions parameters: 15,000

Starting training...
----------------------------------------------------------------------
Epoch     0/200000, Loss: 0.832158, t=0.5: mean=-0.2889, std=1.0242, Time/epoch: 0.754s, ETA: 2513.8min
Epoch   500/200000, Loss: 0.807783, t=0.5: mean=-0.0149, std=1.0210, Time/epoch: 0.004s, ETA: 13.1min
Epoch  1000/200000, Loss: 0.930621, t=0.5: mean=0.0370, std=1.0374, Time/epoch: 0.004s, ETA: 13.0min
Epoch  1500/200000, Loss: 0.861141, t=0.5: mean=-0.0466, std=0.9780, Time/epoch: 0.004s, ETA: 12.9min
Epoch  2000/200000, Loss: 1.055665, t=0.5: mean=-0.0006, std=0.9995, Time/epoch: 0.004s, ETA: 12.9min
Epoch  2500/200000, Loss: 1.049862, t=0.5: mean=-0.0159, std=0.9911, Time/epoch: 0.004s, ETA: 12.3min
Epoch  3000/200000, Loss: 1.039507, t=0.5: mean=0.0019, std=1.0057, Time/epoch: 0.004s, ETA: 12.2min
Epoch  3500/200000, Loss: 0.833567, t=0.5: mean=-0.0708, std=0.9624, Time/epoch: 0.004s, ETA: 12.1min
Epoch  4000/200000, Loss: 1.234145, t=0.5: mean=-0.0090, std=0.9726, Time/epoch: 0.004s, ETA: 12.1min
Epoch  4500/200000, Loss: 1.116752, t=0.5: mean=0.0650, std=1.0289, Time/epoch: 0.004s, ETA: 12.0min
Epoch  5000/200000, Loss: 1.093925, t=0.5: mean=0.0647, std=0.9781, Time/epoch: 0.004s, ETA: 12.0min
Epoch  5500/200000, Loss: 1.201977, t=0.5: mean=-0.0498, std=1.0238, Time/epoch: 0.004s, ETA: 12.0min
Epoch  6000/200000, Loss: 1.247540, t=0.5: mean=0.0547, std=0.9850, Time/epoch: 0.004s, ETA: 12.0min
Epoch  6500/200000, Loss: 1.305544, t=0.5: mean=-0.0027, std=0.9979, Time/epoch: 0.004s, ETA: 11.9min
Epoch  7000/200000, Loss: 1.231339, t=0.5: mean=-0.0005, std=1.0007, Time/epoch: 0.004s, ETA: 11.9min
Epoch  7500/200000, Loss: 1.423573, t=0.5: mean=-0.0367, std=0.9850, Time/epoch: 0.004s, ETA: 11.9min
Epoch  8000/200000, Loss: 1.285639, t=0.5: mean=-0.0250, std=0.9467, Time/epoch: 0.004s, ETA: 11.8min
Epoch  8500/200000, Loss: 1.593154, t=0.5: mean=-0.0450, std=1.0041, Time/epoch: 0.004s, ETA: 11.8min
Epoch  9000/200000, Loss: 1.219403, t=0.5: mean=-0.0259, std=0.9864, Time/epoch: 0.004s, ETA: 11.8min
