Using device: cuda
======================================================================
Time-Dependent 1D Double Well Fokker-Planck
======================================================================
Parameters: σ=1.0, T=1.0
Potential: V(x) = (x² - 1)²
Drift: b(x) = -4x³ + 4x
Initial condition: N(0.0, 1.0)
Training: K=5000 test functions, M=5000 batch size, 100000 epochs
Architecture: ResNet with residual blocks
======================================================================
Saved: results_doublewell1d/potential_drift.png

Initializing networks...
Pushforward network parameters: 6,689
Test functions parameters: 15,000

Starting training...
----------------------------------------------------------------------
Epoch     0/100000, Loss: 0.692176, t=0.5: mean=0.9574, std=1.0296, Time/epoch: 4.238s, ETA: 7063.8min
Epoch   500/100000, Loss: 0.688147, t=0.5: mean=-0.0586, std=1.0216, Time/epoch: 0.006s, ETA: 10.3min
Epoch  1000/100000, Loss: 0.832533, t=0.5: mean=0.0414, std=1.0392, Time/epoch: 0.006s, ETA: 9.8min
Epoch  1500/100000, Loss: 0.737948, t=0.5: mean=0.0001, std=0.9778, Time/epoch: 0.006s, ETA: 9.7min
Epoch  2000/100000, Loss: 0.920072, t=0.5: mean=0.0012, std=1.0009, Time/epoch: 0.006s, ETA: 9.7min
Epoch  2500/100000, Loss: 0.921209, t=0.5: mean=0.0029, std=0.9916, Time/epoch: 0.006s, ETA: 9.6min
Epoch  3000/100000, Loss: 0.873214, t=0.5: mean=-0.0133, std=1.0058, Time/epoch: 0.006s, ETA: 9.6min
Epoch  3500/100000, Loss: 0.668293, t=0.5: mean=-0.0931, std=0.9646, Time/epoch: 0.006s, ETA: 9.1min
Epoch  4000/100000, Loss: 1.053982, t=0.5: mean=0.0165, std=0.9746, Time/epoch: 0.006s, ETA: 9.0min
Epoch  4500/100000, Loss: 0.970879, t=0.5: mean=0.0567, std=1.0291, Time/epoch: 0.006s, ETA: 9.3min
Epoch  5000/100000, Loss: 0.915291, t=0.5: mean=0.0587, std=0.9787, Time/epoch: 0.006s, ETA: 9.3min
Epoch  5500/100000, Loss: 1.023583, t=0.5: mean=-0.0360, std=1.0238, Time/epoch: 0.006s, ETA: 9.3min
Epoch  6000/100000, Loss: 1.045893, t=0.5: mean=0.0505, std=0.9870, Time/epoch: 0.006s, ETA: 9.3min
Epoch  6500/100000, Loss: 1.082914, t=0.5: mean=0.0178, std=0.9988, Time/epoch: 0.006s, ETA: 9.2min
Epoch  7000/100000, Loss: 1.022461, t=0.5: mean=0.0152, std=0.9991, Time/epoch: 0.006s, ETA: 9.1min
Epoch  7500/100000, Loss: 1.198967, t=0.5: mean=-0.0383, std=0.9874, Time/epoch: 0.006s, ETA: 9.1min
Epoch  8000/100000, Loss: 1.062896, t=0.5: mean=0.0143, std=0.9478, Time/epoch: 0.006s, ETA: 9.0min
